pH bin,Group (pH),Mussel No,time of measurement,measurebin,pH,# of Threads,Notes/Extras,Date,Weather,Tidal phase (Feet),Temperature,Light exposure,Thread change,Threads per mussel per 12 hours
A,8.2,1,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,2,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,3,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,4,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,5,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,1,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,2,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,3,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,4,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,5,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,1,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,2,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,3,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,4,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,5,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
D,7.5,1,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,2,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,3,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,4,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,5,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
A,8.2,1,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,2,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,3,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,4,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,5,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
B,8,1,19:53,3,7.98,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,0
B,8,2,19:53,3,7.98,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,0
B,8,3,19:53,3,7.98,2,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,2
B,8,4,19:53,3,7.98,4,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,4
B,8,5,19:53,3,7.98,3,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,3
C,7.8,1,19:53,3,7.8,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,0
C,7.8,2,19:53,3,7.8,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,0
C,7.8,3,19:53,3,7.8,1,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,1
C,7.8,4,19:53,3,7.8,3,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,3
C,7.8,5,19:53,3,7.8,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,0
D,7.5,1,19:53,3,7.8,2,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,2
D,7.5,2,19:53,3,7.5,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,0
D,7.5,3,19:53,3,7.5,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,0
D,7.5,4,19:53,3,7.5,4,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,4
D,7.5,5,19:53,3,7.5,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.9,Covered,,0
A,8.2,1,10:32,4,8.18,4,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,4
A,8.2,2,10:32,4,8.18,5,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,5
A,8.2,3,10:32,4,8.18,0,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
A,8.2,4,10:32,4,8.18,1,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,1
A,8.2,5,10:32,4,8.18,3,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,3
B,8,1,10:32,4,7.99,4,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,4
B,8,2,10:32,4,7.99,4,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,4
B,8,3,10:32,4,7.99,0,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
B,8,4,10:32,4,7.99,0,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
B,8,5,10:32,4,7.99,4,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,1
C,7.8,1,10:32,4,7.8,2,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,2
C,7.8,2,10:32,4,7.8,5,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,5
C,7.8,3,10:32,4,7.8,1,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
C,7.8,4,10:32,4,7.8,5,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,2
C,7.8,5,10:32,4,7.8,5,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,5
D,7.5,1,10:33,4,7.6,0,med walkthrough,8/4,Partly Cloudy,2,21.5,Covered,,0
D,7.5,2,10:33,4,7.6,0,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
D,7.5,3,10:33,4,7.6,0,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
D,7.5,4,10:33,4,7.6,2,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
D,7.5,5,10:33,4,7.6,0,med walkthrough,8/4,Partly Cloudy,2,21.6,Covered,,0
A,8.2,1,20:00,5,8.18,6,low walkthrough,8/4,Between Storms,3,21.7,Covered,,2
A,8.2,2,20:00,5,8.18,7,low walkthrough,8/4,Between Storms,3,21.7,Covered,,2
A,8.2,3,20:00,5,8.18,0,low walkthrough,8/4,Between Storms,3,21.7,Covered,,0
A,8.2,4,20:00,5,8.18,1,low walkthrough,8/4,Between Storms,3,21.7,Covered,,0
A,8.2,5,20:00,5,8.18,3,low walkthrough,8/4,Between Storms,3,21.7,Covered,,0
B,8,1,20:00,5,7.98,8,low walkthrough,8/4,Between Storms,3,21.6,Covered,,4
B,8,2,20:00,5,7.98,4,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
B,8,3,20:00,5,7.98,1,low walkthrough,8/4,Between Storms,3,21.6,Covered,,1
B,8,4,20:00,5,7.98,0,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
B,8,5,20:00,5,7.98,3,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
C,7.8,1,20:03,5,7.79,3,low walkthrough,8/4,Between Storms,3,21.6,Covered,,1
C,7.8,2,20:03,5,7.79,6,low walkthrough,8/4,Between Storms,3,21.6,Covered,,1
C,7.8,3,20:03,5,7.79,3,low walkthrough,8/4,Between Storms,3,21.6,Covered,,2
C,7.8,4,20:03,5,7.79,0,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
C,7.8,5,20:03,5,7.79,5,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
D,7.5,1,20:03,5,7.51,0,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
D,7.5,2,20:03,5,7.51,0,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
D,7.5,3,20:03,5,7.51,0,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
D,7.5,4,20:03,5,7.51,7,low walkthrough,8/4,Between Storms,3,21.6,Covered,,5
D,7.5,5,20:03,5,7.51,0,low walkthrough,8/4,Between Storms,3,21.6,Covered,,0
A,8.2,1,9:51,6,8.17,6,low walkthrough,8/5,Sunny,4,21. 5,Covered,,0
A,8.2,2,9:51,6,8.17,8,low walkthrough,8/5,Sunny,4,21. 5,Covered,,1
A,8.2,3,9:51,6,8.17,0,low walkthrough,8/5,Sunny,4,21. 5,Covered,,0
A,8.2,4,9:51,6,8.17,0,low walkthrough,8/5,Sunny,4,21. 5,Covered,,0
A,8.2,5,9:51,6,8.17,4,low walkthrough,8/5,Sunny,4,21. 5,Covered,,1
B,8,1,9:51,6,7.97,9,low walkthrough,8/5,Sunny,4,21. 5,Covered,,1
B,8,2,9:51,6,7.97,4,low walkthrough,8/5,Sunny,4,21. 5,Covered,,0
B,8,3,9:51,6,7.97,1,low walkthrough,8/5,Sunny,4,21. 5,Covered,,0
B,8,4,9:51,6,7.97,0,low walkthrough,8/5,Sunny,4,21. 5,Covered,,0
B,8,5,9:51,6,7.97,5,low walkthrough,8/5,Sunny,4,21. 5,Covered,,2
C,7.8,1,9:53,6,7.78,9,low walkthrough,8/5,Sunny,4,21.4,Covered,,6
C,7.8,2,9:53,6,7.78,5,low walkthrough,8/5,Sunny,4,21.4,Covered,,0
C,7.8,3,9:53,6,7.78,4,low walkthrough,8/5,Sunny,4,21.4,Covered,,1
C,7.8,4,9:53,6,7.78,4,low walkthrough,8/5,Sunny,4,21.4,Covered,,4
C,7.8,5,9:53,6,7.78,2,low walkthrough,8/5,Sunny,4,21.4,Covered,,0
D,7.5,1,9:53,6,7.49,0,low walkthrough,8/5,Sunny,4,21.4,Covered,,0
D,7.5,2,9:53,6,7.49,0,low walkthrough,8/5,Sunny,4,21.4,Covered,,0
D,7.5,3,9:53,6,7.49,0,low walkthrough,8/5,Sunny,4,21.4,Covered,,0
D,7.5,4,9:53,6,7.49,8,low walkthrough,8/5,Sunny,4,21.4,Covered,,1
D,7.5,5,9:53,6,7.49,0,low walkthrough,8/5,Sunny,4,21.4,Covered,,0
A,8.2,1,20:15,7,8.18,7,high walkthrough,8/5,Sunny,6,21.7,Covered,,1
A,8.2,2,20:15,7,8.18,10,high walkthrough,8/5,Sunny,6,21.7,Covered,,2
A,8.2,3,20:15,7,8.18,0,high walkthrough,8/5,Sunny,6,21.7,Covered,,0
A,8.2,4,20:15,7,8.18,0,high walkthrough,8/5,Sunny,6,21.7,Covered,,0
A,8.2,5,20:15,7,8.18,6,high walkthrough,8/5,Sunny,6,21.7,Covered,,2
B,8,1,20:15,7,7.98,10,high walkthrough,8/5,Sunny,6,21.7,Covered,,1
B,8,2,20:15,7,7.98,4,high walkthrough,8/5,Sunny,6,21.7,Covered,,0
B,8,3,20:15,7,7.98,3,high walkthrough,8/5,Sunny,6,21.7,Covered,,2
B,8,4,20:15,7,7.98,0,high walkthrough,8/5,Sunny,6,21.7,Covered,,0
B,8,5,20:15,7,7.98,6,high walkthrough,8/5,Sunny,6,21.7,Covered,,1
C,7.8,1,20:17,7,7.78,9,high walkthrough,8/5,Sunny,6,21.6,Covered,,0
C,7.8,2,20:17,7,7.78,6,high walkthrough,8/5,Sunny,6,21.6,Covered,,1
C,7.8,3,20:17,7,7.78,4,high walkthrough,8/5,Sunny,6,21.6,Covered,,0
C,7.8,4,20:17,7,7.78,6,high walkthrough,8/5,Sunny,6,21.6,Covered,,2
C,7.8,5,20:17,7,7.78,3,high walkthrough,8/5,Sunny,6,21.6,Covered,,1
D,7.5,1,20:17,7,7.47,0,high walkthrough,8/5,Sunny,6,21.8,Covered,,0
D,7.5,2,20:17,7,7.47,0,high walkthrough,8/5,Sunny,6,21.8,Covered,,0
D,7.5,3,20:17,7,7.47,0,high walkthrough,8/5,Sunny,6,21.8,Covered,,0
D,7.5,4,20:17,7,7.47,10,high walkthrough,8/5,Sunny,6,21.8,Covered,,2
D,7.5,5,20:17,7,7.47,0,high walkthrough,8/5,Sunny,6,21.8,Covered,,0
A,8.2,1,8:50,8,8.18,7,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
A,8.2,2,8:50,8,8.18,12,low walkthrough,8/6,Sunny,7,21.8,Covered,,2
A,8.2,3,8:50,8,8.18,0,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
A,8.2,4,8:50,8,8.18,0,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
A,8.2,5,8:50,8,8.18,4,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
B,8,1,8:50,8,7.96,10,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
B,8,2,8:50,8,7.96,11,low walkthrough,8/6,Sunny,7,21.8,Covered,,7
B,8,3,8:50,8,7.96,1,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
B,8,4,8:50,8,7.96,0,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
B,8,5,8:50,8,7.96,6,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
C,7.8,1,8:52,8,7.77,9,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
C,7.8,2,8:52,8,7.77,6,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
C,7.8,3,8:52,8,7.77,7,low walkthrough,8/6,Sunny,7,21.8,Covered,,3
C,7.8,4,8:52,8,7.77,3,low walkthrough,8/6,Sunny,7,21.8,Covered,,0
C,7.8,5,8:52,8,7.77,5,low walkthrough,8/6,Sunny,7,21.8,Covered,,2
D,7.5,1,8:52,8,7.48,1,low walkthrough,8/6,Sunny,7,21.7,Covered,,1
D,7.5,2,8:52,8,7.48,0,low walkthrough,8/6,Sunny,7,21.7,Covered,,0
D,7.5,3,8:52,8,7.48,0,low walkthrough,8/6,Sunny,7,21.7,Covered,,0
D,7.5,4,8:52,8,7.48,13,low walkthrough,8/6,Sunny,7,21.7,Covered,,3
D,7.5,5,8:52,8,7.48,0,low walkthrough,8/6,Sunny,7,21.7,Covered,,0
A,8.2,1,20:30,9,8.17,8,med walkthrough,8/6,Sunny,6,21.9,Covered,,1
A,8.2,2,20:30,9,8.17,12,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
A,8.2,3,20:30,9,8.17,0,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
A,8.2,4,20:30,9,8.17,0,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
A,8.2,5,20:30,9,8.17,5,med walkthrough,8/6,Sunny,6,21.9,Covered,,1
B,8,1,20:30,9,7.97,11,med walkthrough,8/6,Sunny,6,21.9,Covered,,1
B,8,2,20:30,9,7.97,11,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
B,8,3,20:30,9,7.97,3,med walkthrough,8/6,Sunny,6,21.9,Covered,,2
B,8,4,20:30,9,7.97,0,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
B,8,5,20:30,9,7.97,8,med walkthrough,8/6,Sunny,6,21.9,Covered,,2
C,7.8,1,20:33,9,7.78,9,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
C,7.8,2,20:33,9,7.78,6,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
C,7.8,3,20:33,9,7.78,7,med walkthrough,8/6,Sunny,6,21.9,Covered,,0
C,7.8,4,20:33,9,7.78,4,med walkthrough,8/6,Sunny,6,21.9,Covered,,1
C,7.8,5,20:33,9,7.78,7,med walkthrough,8/6,Sunny,6,21.9,Covered,,2
D,7.5,1,20:33,9,7.48,2,med walkthrough,8/6,Sunny,6,21.8,Covered,,1
D,7.5,2,20:33,9,7.48,0,med walkthrough,8/6,Sunny,6,21.8,Covered,,0
D,7.5,3,20:33,9,7.48,0,med walkthrough,8/6,Sunny,6,21.8,Covered,,0
D,7.5,4,20:33,9,7.48,13,med walkthrough,8/6,Sunny,6,21.8,Covered,,0
D,7.5,5,20:33,9,7.48,0,med walkthrough,8/6,Sunny,6,21.8,Covered,,0